,Unnamed: 0,Country Name,Country Code,2023 Life Expectancy,GDP,Population,region
98,109,Luxembourg,LUX,83.04634146,85.75500612,668606,Europe
99,110,Latvia,LVA,74.5804878,43.62707848,1881750,Europe
100,111,"Macao SAR, China",MAC,85.377,47.06184372,704149,Asia
101,112,Morocco,MAR,74.973,141.0,37840044,Africa
102,113,Moldova,MDA,68.621,16.53943655,2486891,Europe
103,114,Madagascar,MDG,65.23,16.03170292,30325732,Africa
104,115,Maldives,MDV,80.839,6.6,521021,Asia
105,116,Mexico,MEX,74.832,1790.0,128455567,Americas
106,117,Marshall Islands,MHL,65.146,0.284,41996,Oceania
107,119,North Macedonia,MKD,74.42487805,14.76123704,1811980,Europe
108,120,Mali,MLI,59.417,20.9048983,23293698,Africa
109,121,Malta,MLT,82.7,20.95699945,553214,Europe
110,122,Myanmar,MMR,67.256,64.81503167,54577997,Asia
111,124,Montenegro,MNE,76.18780488,7.404541965,616177,Europe
112,125,Mongolia,MNG,72.667,19.87218037,3447157,Asia
113,126,Mozambique,MOZ,59.625,20.62459785,33897354,Africa
114,127,Mauritania,MRT,64.691,10.45257706,4862989,Africa
115,128,Mauritius,MUS,73.51463415,14.39712728,1261041,Africa
116,129,Malawi,MWI,62.898,14.08434106,20931751,Africa
117,130,Malaysia,MYS,76.26,400.0,34308525,Asia
118,131,Namibia,NAM,58.059,12.35102484,2604172,Africa
119,132,Niger,NER,62.08,16.81917042,27202843,Africa
120,133,Nigeria,NGA,53.633,363.0,223804632,Africa
121,134,Nicaragua,NIC,74.615,17.82921528,7046310,Americas
122,135,Netherlands,NLD,81.71463415,1120.0,17879488,Europe
123,136,Norway,NOR,82.56097561,486.0,5519594,Europe
124,137,Nepal,NPL,70.484,40.90807337,30896590,Asia
125,138,Nauru,NRU,64.014,0.154127798,12780,Oceania
126,139,New Zealand,NZL,82.76097561,253.0,5223100,Oceania
127,140,Oman,OMN,73.935,108.0,4644384,Asia
128,141,Pakistan,PAK,66.431,338.0,240485658,Asia
129,142,Panama,PAN,76.826,83.3824,4468087,Americas
130,143,Peru,PER,73.385,268.0,34352719,Americas
131,144,Philippines,PHL,72.187,437.0,117337368,Asia
132,145,Papua New Guinea,PNG,65.958,30.93249625,10329931,Oceania
133,146,Poland,POL,77.30487805,811.0,36685849,Europe
134,147,Puerto Rico,PRI,79.72,118.0,3205691,Americas
135,148,Portugal,PRT,81.5804878,287.0,10525347,Europe
136,149,Paraguay,PRY,70.475,42.95626354,6861524,Americas
137,150,West Bank and Gaza,PSE,73.444,17.3963,5165775,Asia
138,151,Romania,ROU,75.30487805,351.0,19056116,Europe
139,152,Russian Federation,RUS,72.54560976,2020.0,143826130,Europe
140,153,Rwanda,RWA,67.129,14.09776865,14094683,Africa
141,154,Saudi Arabia,SAU,77.905,1070.0,36947025,Asia
142,155,Sudan,SDN,65.578,109.0,48109006,Africa
143,156,Senegal,SEN,67.913,31.01398643,17763163,Africa
144,157,Singapore,SGP,82.89512195,501.0,5917648,Asia
145,158,Solomon Islands,SLB,70.742,1.631286701,740424,Oceania
146,159,Sierra Leone,SLE,60.411,3.809832237,8791092,Africa
147,160,El Salvador,SLV,71.475,34.01562,6364943,Americas
148,161,Somalia,SOM,56.107,11.67980011,18143378,Africa
149,162,Serbia,SRB,75.48219512,75.18712543,6618026,Europe
150,164,Sao Tome and Principe,STP,68.794,0.603240749,231856,Africa
151,165,Suriname,SUR,70.289,3.782437296,623236,Americas
152,166,Slovak Republic,SVK,77.06585366,133.0,5426740,Europe
153,167,Slovenia,SVN,81.28292683,68.21678141,2120937,Europe
154,168,Sweden,SWE,83.1097561,593.0,10536632,Europe
155,169,Eswatini,SWZ,56.36,4.597855845,1210822,Africa
156,170,Sint Maarten (Dutch part),SXM,74.409,1.623165683,41163,Americas
157,171,Seychelles,SYC,73.84878049,2.141450171,119773,Africa
158,172,Turks and Caicos Islands,TCA,74.925,1.402054391,46062,Americas
159,173,Chad,TCD,52.997,13.14932536,18278568,Africa
160,176,Togo,TGO,61.588,9.171261835,9053799,Africa
161,177,Thailand,THA,79.68,515.0,71801279,Asia
162,178,Tajikistan,TJK,71.288,12.06060201,10143543,Asia
163,179,Turkmenistan,TKM,69.41,59.88733484,6516100,Asia
