,Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)"
5593,Spain,ESP,2022,40223.01
5626,Sri Lanka,LKA,2022,12200.138
5659,Sub-Saharan Africa (WB),,2022,3767.1772
5692,Sudan,SDN,2022,3570.6074
5725,Suriname,SUR,2022,15047.614
5758,Sweden,SWE,2022,55359.344
5791,Switzerland,CHE,2022,72278.21
5824,Tajikistan,TJK,2022,4137.278
5857,Tanzania,TZA,2022,2623.8616
5890,Thailand,THA,2022,17507.621
5923,Togo,TGO,2022,2202.7268
5988,Trinidad and Tobago,TTO,2022,23295.547
6021,Tunisia,TUN,2022,10569.051
6054,Turkey,TUR,2022,33149.5
6087,Turkmenistan,TKM,2022,14740.01
6099,Turks and Caicos Islands,TCA,2022,20718.389
6132,Tuvalu,TUV,2022,4591.3306
6165,Uganda,UGA,2022,2280.0737
6198,Ukraine,UKR,2022,10731.44
6231,United Arab Emirates,ARE,2022,74917.67
6264,United Kingdom,GBR,2022,47587.168
6297,United States,USA,2022,64623.125
6330,Upper-middle-income countries,,2022,18129.36
6363,Uruguay,URY,2022,24426.66
6396,Uzbekistan,UZB,2022,8073.2104
6429,Vanuatu,VUT,2022,2785.9038
6462,Vietnam,VNM,2022,11396.531
6495,World,OWID_WRL,2022,17527.19
6528,Zambia,ZMB,2022,3365.8738
6561,Zimbabwe,ZWE,2022,2207.957
